18-068718-FC01,5/1/2018,Barrow,"137 Creekwood Road Winder, Georgia",30680,"Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",5/4/2005,62930,,Chronos Solutions
18-068932-FC01,5/1/2018,Barrow,"1418 Princeton Drive Statham, Georgia",30666,"Wells Fargo Home Mortgage, Inc.",8/13/2003,119900,,Auction.com
17-067080-FC01,5/1/2018,Bibb,"640 Shadow Moss Drive Macon, Georgia",31204,"Mortgage Electronic Registration Systems, Inc. as nominee for Macon Mortgage, Inc.",2/28/2007,83500,,Auction.com
18-068267-FC02,5/1/2018,Bibb,"910 Ridge Crest Court Macon, Georgia",31204,"Bank of America, N.A.",3/26/2010,95243,,Auction.com
17-067624-FC03,5/1/2018,Bibb,"5803 Leone Drive Macon, Georgia",31206,"Centex Home Equity Company, LLC",4/22/2006,60000,,Xome.com
18-068161-FC02,5/1/2018,Bibb,"6769 Vonreg Drive Macon, Georgia",31216,"Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans Inc., its successors and assigns",11/7/2016,83892,,Auction.com
18-068707-FC01,5/1/2018,Bulloch,"2048 Plantation Pointe Drive Statesboro, Georgia",30461,"Mortgage Electronic Registration Systems, Inc., as nominee for New South Federal Savings Bank, its successors and assigns",8/28/2008,309514,210125,
17-064798-FC02,5/1/2018,Burke,"1811 Cates Mead Road Waynesboro, Georgia",30830,"ABN AMRO Mortgage Group, Inc.",1/3/2003,80000,,Auction.com
18-068687-FC01,5/1/2018,Carroll,"216 Ivey Lake Parkway Temple, Georgia",30179,"Mortgage Electronic Registration Systems, Inc., as nominee for Homestar Financial Corp., its successors and assigns",11/3/2009,145500,,Chronos Solutions
17-066907-FC02,5/1/2018,Chatham,"21 Beacon Lane Port Wentworth, Georgia",31407,"SunTrust Mortgage, Inc.",4/22/2008,127603,,Auction.com
17-067723-FC03,5/1/2018,Chatham,"30 Burke Street Garden City, Georgia",31408,"American General Financial Services, Inc.",11/11/2002,30500,12500,
18-068564-FC01,5/1/2018,Chatham,"127 Wyckfield Road Savannah, Georgia",31410,"Mortgage Electronic Registration Systems, Inc. as nominee for Walker Jackson Mortgage Corporation, its successors and assigns",10/26/2009,217885,,Chronos Solutions
18-068804-FC01,5/1/2018,Cherokee,"202 Woodland Way Canton, Georgia",30114,"Mortgage Electronic Registration Systems, Inc. as nominee for Everbank, its successors and assigns",7/20/2012,121300,,Auction.com
18-068923-FC01,5/1/2018,Clayton,"3008 Summit Drive Jonesboro, Georgia",30236,Regions Bank d/b/a Regions Mortgage,12/30/2016,188977,156754,
18-068559-FC01,5/1/2018,Clayton,"8285 BridgeWater Place Riverdale, Georgia",30296,"Mortgage Electronic Registration Systems, Inc. as nominee for Real Estate Mortgage Network, Inc., its successors and assigns",4/27/2012,58381,,Xome.com
18-068706-FC01,5/1/2018,Clayton,"7659 Echo Lane Jonesboro, Georgia",30236,"Wells Fargo Bank, N.A.",11/2/2010,86530,,Auction.com
15-053997-FC05,5/1/2018,Clayton,"219 Independence Drive Jonesboro, Georgia",30238,"Mortgage Electronic Registration Systems, Inc. as nominee for AEGIS Mortgage Corporation dba New American Financial, its successors and assigns",1/26/2001,94860,,Auction.com
16-059829-FC02,5/1/2018,Clayton,"48 Harbour Town Cove Fayetteville, Georgia",30215,Westminster Mortgage Corporation,2/21/2003,121439,,Auction.com
18-068746-FC01,5/1/2018,Cobb,"3089 Nectar Drive Powder Springs, Georgia",30127,"Mortgage Electronic Registration Systems, Inc. as nominee for American Mortgage Exchange, Inc., its successors and assigns",2/28/2003,145050,,Chronos Solutions
16-057511-FC02,5/1/2018,Columbia,"332 Sugarcreek Drive Grovetown, Georgia",30813,"Wells Fargo Bank, N.A.",2/16/2015,197100,147621.46,
